Column Name,Display Name,Display Note,Description,Source,Series ID,Unit,Transformation,Seasonal Adj,Known Quirks,Refresh Freq,Refresh Source
hy_ig_roc_21d,HY-IG RoC 1M (%),How much the spread changed over the past month (%),21-day rate of change of HY-IG spread,Derived,D6,%,(spread / spread.shift(21) - 1) * 100,N/A,Percentage change; can be extreme from low base,Daily,Computed
hy_ig_roc_63d,HY-IG RoC 3M (%),How much the spread changed over the past quarter (%),63-day rate of change of HY-IG spread,Derived,D7,%,(spread / spread.shift(63) - 1) * 100,N/A,Percentage change,Daily,Computed
hy_ig_roc_126d,HY-IG RoC 6M (%),How much the spread changed over the past 6 months (%),126-day rate of change of HY-IG spread,Derived,D8,%,(spread / spread.shift(126) - 1) * 100,N/A,Percentage change,Daily,Computed
hy_ig_mom_21d,HY-IG Mom 1M (bps),Absolute change in spread over 1 month,21-day momentum of HY-IG spread,Derived,D9,bps,spread - spread.shift(21),N/A,"Absolute change, not percentage",Daily,Computed
hy_ig_mom_63d,HY-IG Mom 3M (bps),Absolute change in spread over 3 months,63-day momentum of HY-IG spread,Derived,D10,bps,spread - spread.shift(63),N/A,Absolute change,Daily,Computed
hy_ig_mom_252d,HY-IG Mom 1Y (bps),Absolute change in spread over 1 year,252-day momentum of HY-IG spread,Derived,D11,bps,spread - spread.shift(252),N/A,Absolute change,Daily,Computed
hy_ig_acceleration,Spread Acceleration,Is the spread change speeding up or slowing down?,Change in 21d RoC over 21 days (second derivative),Derived,D12,pp,roc_21d - roc_21d.shift(21),N/A,Second derivative; noisy,Daily,Computed
ccc_bb_spread,CCC-BB Spread (bps),Risk premium difference between junkiest and least-junky high-yield bonds,CCC OAS minus BB OAS (quality spread within HY),Derived,D13,bps,BAMLH0A3HYC - BAMLH0A1HYBB,N/A,Widens sharply during credit events; thin CCC market,Daily,Computed
hy_ig_realized_vol_21d,Spread Vol (21d),How volatile the spread has been over the past month,21-day rolling std of daily spread changes,Derived,D14,bps,"rolling_std(spread.diff(), 21)",N/A,Clusters during stress,Daily,Computed
vix_term_structure,VIX Term Structure,Difference between 3-month and 1-month fear gauges (negative = near-term panic),VIX3M minus VIX,Derived,D15,Index pts,VIX3M - VIX,N/A,Negative = backwardation (near-term stress); starts when VIX3M starts,Daily,Computed
yield_spread_10y3m,10Y-3M Spread (%),Yield curve slope — negative means recession warning,10Y minus 3M Treasury yield spread,Derived,D16,%,DGS10 - DTB3,N/A,Classic recession indicator; negative = inverted curve,Daily,Computed
yield_spread_10y2y,10Y-2Y Spread (%),Another yield curve slope measure — negative = recession signal,10Y minus 2Y Treasury yield spread,Derived,D17,%,DGS10 - DGS2,N/A,More volatile than 10Y-3M; popular media indicator,Daily,Computed
bank_smallcap_ratio,Bank/SmallCap Ratio,Relative performance of banks vs small companies — credit health indicator,KBE / IWM price ratio,Derived,D18,Ratio,KBE / IWM,N/A,Starts when KBE starts (~2005),Daily,Computed
nfci_momentum_13w,NFCI Momentum (13w),Are financial conditions tightening or loosening over the past quarter?,NFCI minus NFCI lagged 65 business days,Derived,D19,Index pts,NFCI - NFCI.shift(65),N/A,"Based on weekly NFCI, forward-filled to daily",Daily,Computed
bbb_ig_spread,BBB-IG Spread (bps),Risk premium for being at the edge of investment grade,BBB OAS minus IG OAS,Derived,D20,bps,BAMLC0A4CBBB - BAMLC0A0CM,N/A,Sensitive to downgrade risk at the IG/HY boundary,Daily,Computed
spy_fwd_1d,SPY Fwd Return 1D,S&P 500 return over the next trading day,1-day forward SPY return,Derived,FWD1,Decimal,SPY.pct_change(1).shift(-1),N/A,Look-ahead variable — NOT for use as a predictor,Daily,Computed
spy_fwd_5d,SPY Fwd Return 1W,S&P 500 return over the next week,5-day forward SPY return,Derived,FWD5,Decimal,(SPY.shift(-5) / SPY - 1),N/A,Look-ahead variable,Daily,Computed
spy_fwd_21d,SPY Fwd Return 1M,S&P 500 return over the next month,21-day forward SPY return,Derived,FWD21,Decimal,(SPY.shift(-21) / SPY - 1),N/A,Look-ahead variable,Daily,Computed
spy_fwd_63d,SPY Fwd Return 3M,S&P 500 return over the next quarter,63-day forward SPY return,Derived,FWD63,Decimal,(SPY.shift(-63) / SPY - 1),N/A,Look-ahead variable,Daily,Computed
spy_fwd_126d,SPY Fwd Return 6M,S&P 500 return over the next 6 months,126-day forward SPY return,Derived,FWD126,Decimal,(SPY.shift(-126) / SPY - 1),N/A,Look-ahead variable,Daily,Computed
spy_fwd_252d,SPY Fwd Return 1Y,S&P 500 return over the next year,252-day forward SPY return,Derived,FWD252,Decimal,(SPY.shift(-252) / SPY - 1),N/A,Look-ahead variable; last 252 obs are NaN,Daily,Computed
